,id,expectedmoney,capital,foodtype_고기,foodtype_디저트,foodtype_베이커리,foodtype_분식,foodtype_일식,foodtype_중식,foodtype_치킨,foodtype_커피,foodtype_패스트푸드,foodtype_퓨전음식,foodtype_한식,locate_경기,locate_서울,locate_인천
270,723365,930.0,20000,0,1,0,0,0,0,0,0,0,0,0,0,0,1
271,721457,1160.0,20000,1,0,0,0,0,0,0,0,0,0,0,0,1,0
272,721152,1160.0,20000,1,0,0,0,0,0,0,0,0,0,0,0,1,0
273,698842,1550.0,10000,0,0,0,0,0,0,0,0,0,0,1,1,0,0
274,661558,2080.0,20000,0,0,0,0,0,0,0,0,0,0,1,0,1,0
275,669594,900.0,10000,0,0,0,0,0,0,0,0,1,0,0,1,0,0
276,720339,1500.0,30000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
277,720369,1500.0,30000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
279,716260,1500.0,30000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
281,715377,1220.0,20000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
282,720563,860.0,14000,0,0,0,0,1,0,0,0,0,0,0,0,1,0
283,715751,800.0,6000,0,0,0,0,1,0,0,0,0,0,0,1,0,0
284,710969,2460.0,75000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
285,718799,900.0,43000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
286,698819,650.0,9000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
287,721121,2250.0,62000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
288,712455,990.0,25000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
290,598067,1120.0,35000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
291,722954,1350.0,17000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
292,651507,1350.0,17000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
293,709365,1050.0,48000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
294,723557,1270.0,36000,0,0,0,0,0,0,0,1,0,0,0,0,0,1
295,597970,850.0,12000,0,0,0,0,0,0,0,1,0,0,0,0,0,1
297,723355,1060.0,36000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
299,681909,1140.0,45000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
300,722109,1060.0,36000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
301,722834,950.0,25000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
302,722694,1200.0,25000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
304,722911,1120.0,35000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
305,723435,1060.0,36000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
306,723613,1270.0,36000,0,0,0,0,0,0,0,1,0,0,0,0,0,1
307,722715,1200.0,16000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
309,672326,1750.0,75000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
310,679189,1250.0,15000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
311,720102,1300.0,41000,0,0,0,0,0,0,0,1,0,0,0,0,0,1
312,723111,690.0,11000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
313,698771,900.0,8000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
314,705478,1800.0,55000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
315,691082,1200.0,16000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
316,720128,1600.0,66000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
317,604411,1025.0,32000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
318,722763,1500.0,24000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
319,609430,1500.0,65000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
320,712480,570.0,15000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
321,704708,1100.0,12000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
322,723375,1750.0,75000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
323,722723,1500.0,24000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
324,691112,1500.0,24000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
325,722654,1200.0,25000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
327,715321,850.0,35000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
328,721081,2250.0,62000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
329,652102,600.0,12000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
330,710873,2400.0,60000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
331,598315,520.0,20000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
332,716967,1500.0,60000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
333,721460,1170.0,30000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
334,722526,1500.0,60000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
335,721775,1000.0,30000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
336,714523,1500.0,60000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
337,709368,890.0,10000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
338,715322,1000.0,30000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
339,723115,800.0,10000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
340,720559,3600.0,110000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
341,714307,630.0,30000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
343,720993,1170.0,30000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
344,720094,610.0,20000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
345,720110,2150.0,60000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
347,723272,670.0,14000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
348,721031,935.0,13000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
349,657486,1070.0,19000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
350,722797,1070.0,19000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
351,705477,1200.0,16000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
353,712657,715.0,8000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
354,721773,1200.0,16000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
355,722680,1305.0,13000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
356,721756,1200.0,10000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
358,710965,1100.0,16000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
359,722629,1045.0,28000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
360,718759,1100.0,16000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
361,698814,1840.0,27000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
362,723086,1700.0,28000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
363,714309,1700.0,28000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
364,723167,2250.0,56000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
365,710930,1100.0,16000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
366,657505,1820.0,38000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
367,695556,1000.0,12000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
368,723087,1150.0,25000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
369,681921,1460.0,36000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
370,723196,1180.0,28500,0,0,0,1,0,0,0,0,0,0,0,0,1,0
371,695160,1070.0,24000,0,0,0,1,0,0,0,0,0,0,0,1,0,0
372,715402,1100.0,16000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
373,714310,1150.0,25000,0,0,0,1,0,0,0,0,0,0,0,0,1,0
